Job Title,Perusahaan,Lokasi,Status Pekerjaan,Gaji,Description and Requirement,Bidang Pekerjaan
Receptionist,PT Kibarer Properti Bali,"North Kuta, Bali",Penuh waktu,,"URGENTLY NEEDED - RECEPTIONIST

Kibarer Property looking for a dedicated and friendly Receptionist to be the first point of contact for our valued clients and visitors. As a Receptionist at Kibarer Property, you will play a crucial role in creating a welcoming and efficient office environment. We are dedicated to providing an exceptional experience for our clients and team members alike. Responsibilities: As our Receptionist, you will play a crucial role in:Welcoming and greeting visitors with a warm and professional demeanor.Managing incoming calls and directing them to the appropriate department.Assisting with administrative tasks, including sorting and distributing mail.Maintaining a tidy and organized reception area.Providing exceptional customer service to clients, guests, and team members.Collaborate in a professional capacity with the company's management. Requirements: We are seeking candidates with:Previous experience as a receptionist or in a similar customer-facing role.Proficiency in English and Bahasa IndonesiaStrong communication and interpersonal skills.Proficiency in office software and phone systems.Excellent organizational abilities and attention to detail.Multi-taskerA friendly and approachable attitude. If you are passionate about creating a positive first impression and enjoy being the face of a company, we'd love to hear from you!",Resepsionis (Administrasi & Dukungan Perkantoran)
Admin Warehouse,PT PACIFIC REFUTO SYSTEM,"Cirebon, Jawa Barat",Penuh waktu,Rp 4.000.000 – Rp 4.500.000 per month,"Pendidikan minimal D1 Sederajat Memiliki pengalaman kerja minimal 2 tahun sebagai admin warehouse Mampu mengoperasikan Ms.Office (excel,word,power point) is a must Teliti,cekatan,tegas, dan dapat bekerja sama dengan team Penempatan kerja di Cirebon Jawa Barat","Pergudangan, Penyimpanan & Distribusi (Manufaktur, Transportasi & Logistik)"
Admin Head (Samarinda),PT Pro Energi ,"Samarinda, Kalimantan Timur",Kontrak,,"Persyaratan:Pendidikan minimal S1 Jurusan AkutansiUsia maksimal 35 tahunMemiliki pengalaman diposisi serupa minimal 3 tahun
Deskripsi Pekerjaan:Bertanggung jawab atas administrasi penjualan cabangMembuat laporan dan melakukan rekonsiliasi atas “sales performance”Melakukan stock opname produk harian dan membuat perkiraan produk serta forecast sales harian, mingguan, dan bulananMelakukan update dan maintain data customer pada sistemMelakukan koordinasi dengan pihak logistik terkait dengan proses deliveryMelakukan review customer, credit analysist, dan business reviewMereview segala pengajuan FPU, PR PO yang diajukan oleh team SamarindaMelakukan stock opname terhadap sparepart fleet dan mekanikMelakukan fungsi HRGA di cabang SamarindaBertanggung jawab atas petty cash office dan memastikan ketersediaan dana",Asisten Administratif (Administrasi & Dukungan Perkantoran)
Data Entry specialist,PT Mangrove Data Group,"West Denpasar, Bali",Penuh waktu,"Rp 3,500,000 – Rp 4,500,000 per month","About Mangrove Data Group: Mangrove Data Group is a young and fast-growing startup. Our focus is on great quality data processing, with possible expansions web design and content creation in the near future. 
Our reliable partnerships has given us the possibility to seek more Data Entry Specialists to contribute to our continued success.Job Description: As a Data Entry Specialist at Mangrove Data Group, you will play a crucial role in managing and organizing data critical to our operations. Your meticulous attention to detail and commitment to accuracy will support our expansion into new service areas and help maintain the high standards our clients expect.Key Responsibilities:Accurately input, update, and maintain data across various databases and online platforms.Review and verify data for completeness and accuracy, making necessary corrections.Collaborate with team members to collect required data and ensure consistency across sources.Generate reports, store completed work in designated locations, and perform backup operations.Maintain confidentiality regarding the information being processed, stored, or accessed.Assist with additional administrative tasks as needed to support business operations.Qualifications:Proven experience as a data entry specialist or similar roles.Typing skills with an eye for detail and familiarity with spreadsheets and online forms.Good command of English, both oral and written.Knowledge of MS Office Word, ExcelBasic understanding of database software is a plus.College diploma; additional computer training or certification is a plus.What We Offer:A dynamic, supportive, and collaborative work environment.Opportunities for professional growth and development.Competitive salary and benefits package.Red days and 2 weeks paid off per year.Occasional office lunches or activities.Referral bonus for new employees.",Entri Data & Pengolahan Kata (Administrasi & Dukungan Perkantoran)
Software Engineer - Web,PT Trinusa Travelindo,Jakarta Raya,Penuh waktu,,"It's fun to work in a company where people truly BELIEVE in what they're doing!
‎ 
Job Description
As a Software Engineer on our Web Engineering team, you will play a pivotal role in shaping the future of transportation technology. You will work with a dynamic team of engineers, product managers, designers, data analysts, and QA engineers to deliver exceptional web experiences and automation solutions. We use a tech stack that includes HTML, CSS, JavaScript, TypeScript, React, Next.js, and Node.js.
‎ 
Requirements

Bachelor's degree in Computer Science or a related field (or equivalent experience).
5+ years of professional web development experience.
Proficiency in HTML, CSS, JavaScript, TypeScript, React, and Next.js.
Strong comprehension in JavaScript promises and asynchronous programming.
Experience with Node.js and building automation solutions is a plus.
Excellent problem-solving skills and a proactive attitude.
Ability to collaborate effectively with cross-functional teams.
Strong communication skills and the ability to explain technical concepts to non-technical stakeholders.
A passion for keeping up-to-date with the latest industry trends and technologies.

‎ 
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
SEO Specialist,Company Confidential,"Bandung, Jawa Barat",Penuh waktu,,"Job description & requirements
Role Overview
As a Sr SEO Specialist at FOREXimf.com,  you will be responsible for managing overall organic marketing pull to  drive business performance with maximum ROI. This involves optimizing  related pages to reach the best rank, analyzing data to deliver  marketing insights, learning about user behavior, fixing and monitoring any campaigns related to SEO techniques.
Job Requirements

Will work from Bandung Headquarter
 Minimum of 3+ years SEO experience
 Experience in using SEO tools such as AHREFS, Google Search Console, Google Analytics etc
 Understands Google Analytics 4 and Google Search Console metrics
 Solid  knowledge of search engine spider, crawl and indexing process, while  understanding the importance of XML sitemaps, robots.txt files, status  code errors fix
 Strong familiarity with the web development process, including the important points at which SEO must be considered
 Demonstrates  a hunger to stay abreast of the latest industry developments and create  reports on how changes will impact the search for all parts of the  business
 Technical SEO knowledge is a must
 Excellent communication in English, stakeholder management, and problem-solving  skills. 
 Strong drive to make things happen and influence others.
 Growth mindset to always go the extra mile in learning and upgrading yourself. 
 Ability to be agile and flexible in adapting to a dynamic environment. 
 Interest in the forex, investment, stock, cryptocurrency or financial sector is a plus

Job Responsibilities

Develop and implement effective SEO strategies to improve organic traffic, search ranking, and maximize ROI
 Use  a variety of tools, competitive research, and other methods to discover  optimal keyword targets needed for marketing, product, and other teams.
 Identify opportunities to increase organic search from images  and videos, establishing best practices to do that across all areas of  business
 Strong understanding of web markup, including HTML, CSS, and Schema
 Work  closely with other marketing counterparts/vendors to oversee SEO  campaigns which include technical auditing and onsite implementation,  link outreach, and content development
 Work with other teams  such as freelance content writers, graphic designer and growth marketing  managers to identify new opportunities to bring in organic traffic
 Analyze  backlinks strategy quarterly, 404s, incorrect redirects, or  opportunities for competitive improvement. Replace outdated, toxic, or  dropped off links.
 Identify opportunities for organic growth,  through SEO optimization, in all areas of the business and work closely  with respected product managers to build hypotheses and implement  successful tests
 Understand metrics and KPIs and continually suggest optimizations to improve performance
 Establish best practices for site navigation, breadcrumbing, internal links, and HTML sitemaps
 Prepare  SEO reports on a weekly, fortnightly and monthly basis to be shared  with internal stakeholders, audit team efforts, prepare competitive analysis and identify areas for improvement.  

Skills

Content Management
Content Strategy
SEO

Culture

 At FOREXimf, we are innovative, passionate, vibrant, balanced and energetic.
 Benefits and perks of working with us include:
 Compensation: Bonuses
Family benefits: Paid maternity / paternity leave
Lifestyle: Casual dress code
Welfare: Health insurance, Vacation time",Pengembangan Bisnis Baru (Penjualan)
Full Stack Developer,PT Indocyber Global Teknologi,Jakarta Raya,Penuh waktu,,"Job description & requirements
- Minimum bachelor’s degree 
- At least 2 years working experience 
- Know about language PHP
- Know about in NodeJS, VueJs, NestJs
- Follow trend on IT things 
- Good Communication 
- Willing working at Jakarta
- Willing full onsite (WFO)
Skills

Node.js
Vue.js
Full-stack Web Development

Culture

 At Indocyber Global Teknologi, we are adaptable, balanced, energetic, innovative and passionate.
 Benefits and perks of working with us include:
 Compensation: Bonuses, Competitive salaries, Transportation reimbursement
Family benefits: Paid maternity / paternity leave
Lifestyle: Company outings
Progression: Professional development
Welfare: Gym membership, Health insurance",Developer/Programmer (Teknologi Informasi & Komunikasi)
Fullstack Developer,Company Confidential,Jakarta Raya,Penuh waktu,,"Job description & requirements
Jobdescription : 

Lead Project development as engineering owner of a group of 3-5 engineers.
 Working closely with product managers to understand the requirement, Propose solutions and coordinate dependencies
 Design and write HRIS with C# to improve the availability, scalability, latency, and efficiency 
 Engage in HRIS system planning, software performance analysis, tuning, and optimization
 Work closely with the infrastructure team in building and scaling back-end services as well as performing root cause analysis investigations
 Work closely with the mobile team to build reusable modularized mobile components utilizing scalable APIs
 Work with different engineering teams to explore and create new designs/architectures geared toward scale and performance
 Participate in code and design reviews to maintain our high development standards
 Join on-call rotations to debug production issues and improve system stability

Requirement : 
a. 4-5 years of relevant experience. Hands-on in either C# or JavaScript or Java 
b. The ability to go into depth and breadth across tech stack used in the product vis-a-vis backend services, machine learning, data engineering, web development, data and analytics, infrastructure
c. Has worked on large-scale event-driven microservices architecture with an active use of Kafka and can architect solutions based on this pattern
d. Is familiar with basic programming principles such as SOLID and DDD
e. Understands why we need to test code and has implemented tests
f. Able to understand/discuss design and performance trade-offs in complex systems
Skills

Mobile Development
Software Engineering
Software Development
Programming
Javascript
C#
Backend Development

Culture
We’re a company that focus on people and process. Instead of your experiences or your background, we have company values to encourage you do what you do best. You’re free to be passionate, innovate, collaborate, explore anything and care for those you work with. Besides of the challenges, we also believe a productive worker is a worker who has healthy work-life balance.
Benefits and perks of working with us include:
Compensation: Bonuses, Competitive salaries, transportation allowance

Helping Others Grow",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Senior Backend Developer,PT Appfuxion Consulting,Jakarta Raya,Penuh waktu,,"Job description & requirements
Responsibilities

Responsible for product launches, delivery customization and rollout of system enhancement.
 The Application Developer will be responsible for understanding the Business Requirements, defining and documenting gap analysis, appropriate logical and physical designs. 
 To produce the functional and technical specifications. 
 In order to complete the requirements of this role, the Application Developer will need to develop a good understanding of the application system design and data model. 
 The scope of designs will include system development, static data/product configuration, correspondence production, interfaces to other applications, and reports.
 Perform System Testing/SIT and provide necessary support for UAT 
 In dept programming knowledge and hand on is required to support current application model and enhancement. 
 Able to perform daily production system application support, investigation and resolution. 
 Able to perform Development/UAT batch support.

Requirements

Bachelor's Degree in Information Technology or a related field 
 At least 3-4 years of working experience in system design and development 
 Experience and knowledge in SQL Language and Java programming is a must. Knowledge of Java Eclipse SDK/ Web application development tools, Apache Java Tomcat web server, Java Web Application, Jboss, Jasper Report, Configuration JDBC Connection, and SVN Versioning Control management tools will be an advantage. 
 Hands-on experience on web-based programming technologies & framework (Example: Spring MVC, Spring Boot, Struts, Hibernate, HTML5, AJAX, JSP, web services, NodeJS, .NET) 
 Proficient in at least one commercial RDBMS (E.g. IBM DB2, Oracle, MS SQL) 
 Preferable with Life insurance knowledge background. 
 Good team player and able to communicate effectively at all levels 
 Able to demonstrate good logical thinking and problem-solving techniques in a business and/or technical environment. 
 Possess outstanding professionalism with pleasant attitude and personality

Skills

Java
Spring
AJAX
SQL
MySQL
MVC

Culture

 At PT Appfuxion Consulting Indonesia, we are fast paced, innovative, collaborative, passionate and adaptable.
 Benefits and perks of working with us include:
 Compensation: Competitive salaries
Lifestyle: Flexible hours
Progression: Professional development

 AppFuxion Consulting has approximately 450 skilled and experienced digital solution professionals from software blueprint, architecture, process automation, quality assurance to project management. We bring years of experience in delivering digital solutions tailored to your business requirements.
Our specialists are industry proven consultants that can architect the right solution, devise a practical delivery plan and deliver customer-centric services to meet our client’s requirements. To further emphasize on our customer-centric approach, we ensure that we are a natural extension of our client’s team; reducing cost, duration, and complexity of our client’s projects while delivering the right digital solutions all within the required timeline.",Developer/Programmer (Teknologi Informasi & Komunikasi)
Full Stack Engineer,Company Confidential,Jakarta Raya,Penuh waktu,,"Are you passionately seeking a new challenge in industry 4.0 era? AILIMA is looking for competent and innovative Full Stack Engineer to support the cutting edge technology development in geothermal sector (exploration, development, and operation). Join us and bring your curiosity to life!
Background: Computer Science, Engineering and all related background
Location : Jakarta/remote (preferred available to visit office occasionally)
Responsibilities :

Web application development or API with micro service system development.
Working with database system (Querrying Database for tables, functions, and store procedures).
Collaborating with UI/UX Design.

Experience and Education : 

One year experience as web developer, fresh graduates are encouraged to apply.
Strong organization skills that reflect ability to perform and prioritize multiple tasks seamlessly woth excellent attention to detail.

Skill and Abilities :

Restfull API Architecture.
MVC Architecture.
RDBMS Postgre SQL.

*Will be plus if you have the experience in:

.NET Framework 4.7.XXX.
C# Programming Language.
HTML, CSS, Javascript, Jquery, and Ajax.

Note: Please submit your resumes to hrd@ailima.co.id",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Back End Developer (JULO),Company Confidential,Jakarta Raya,Penuh waktu,,"Job description & requirements
🙌🏻 About Us
JULO is a financial technology company that is working on a financial super app. We started off with the lending arm and have excelled at it. Hundreds of thousands of Indonesians now use JULO apps to get access to a decent credit product. It's our mission to help millions of Indonesians get a better life. That's how we'll build a company future generations will be proud of.
We have just closed our Series B round and are now tapping into other financial territories, to eventually provide a one stop financial solution to all Indonesians.
💰Salary
Very competitive
👑 Job Role

Analyze and systematically approach product requirements and work closely with PMs, QAs, and Tech Leads to build business backend features/apps that are modular and reusable
 Come up with practical short and long term solutions that minimize complexity and maximize value
 Include security, maintainability, reusability, and testability when developing software solutions and code reviewing
 Factor Linux/Unix OS system internals, data storage, computing resources, microservices in the produced software architecture
 Identify things that can go wrong early but also thoroughly investigate bugs reported in production
 Apply and tailor software development concepts and best practices

⛩️ Requirements

Min 2 years of diverse software development experience and teams.
 Skilled in Python or Golang programming languages (but not limited to).
 Highly skilled in developing, testing, debugging, and troubleshooting with any of these technologies:
 Git, Git hooks, unit test frameworks
 CI tools like CircleCI, Jenkins
 Ubuntu VMs, Docker containers, and Kubernetes
 monitoring tools like Sentry, APM tools like Datadog
 log aggregators like Elasticsearch & Kibana
 provisioning tools like Ansible
 Highly skilled in designing complex real world database structures and storing, managing, and analyzing large amounts of data in SQL.
 Highly skilled in all kinds of development tools that brings source code in a text file to running code in production.
 Experience in agile development processes and applications such as Jira.
 Great team player, have excellent work ethics, and have solid technical communication skills in English.
 
Nice to have: Intermediate knowledge in web frontend development

🎁 Perks

Medical Insurance
 Dental Insurance
 THR / Bonus system
 Competitive Salary
 Period Leave
 Free Food / Snacks
 Team Building Activity
 Self-development Allowance
 Casual Dress Code
 Company Outings
 Childcare Assistance
 Paid Maternity / Paternity Leave
 Paid Sick Days
 Professional Development
 Recreational Area
 Vacation Time
 Wellness Program

Skills

Git
Golang
Jira

Culture
Check out more here - https://talent.usedeall.com/
About the company
Deall is a curated job portal, where only the talents we have curated can apply to vacancies.",Developer/Programmer (Teknologi Informasi & Komunikasi)
Backend Engineer,Company Confidential,Jakarta Raya,Penuh waktu,,"Minimum Qualification :
 
Bachelor's degree majoring in computer science or other related fields
Minimum 2 Years of experience in a frontend and backend (web / mobile) development
+2 years of software engineer lead/managerial experience
Expertise in NodeJS, postgres & mySQL, and microservices
Experienced on creating strategy and execute SEO related tasks
Have multiple years of experience debugging complex issues at every level of the stack
Experienced with building scalable backend services
Experienced building clean, maintainable, and well-tested code
Experienced with cloud infrastructure systems (GCP/AWS)
Familiar on deploying app to Google Playstore & Apple Store
Fluency in Bahasa Indonesia and English is a must",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
Backend Engineer,PT Tibeka Logistik Indonesia,Jakarta Raya,Penuh waktu,,"Job description & requirements
Requirements:

Bachelor's degree in Engineering, Computer Science, or related major
 2+ years of experience Back-End Engineer or similar position
 2+ years of experience using GoLanguage
 Strong data structures and computer science fundamentals
 Strong OOP understanding
 Development experience in object-oriented programming languages and patterns.
 Familiar with HTTP protocol
 Familiar with performance tuning of Web Server, massive concurrency handling, and caching mechanisms
 Experienced in using version control (Git)
 Experienced in web server development using Go
 Experienced in designing and implementing efficient database structure for web server
 Experienced in developing API using JSON-based REST API or gRPC

Responsibilities:

Develop clean and stress-proof web server application.
 Design and implement web backend services using Go or Python + Django/Flask
 Research, analyze, test, benchmark, and evaluate new technology.
 Improve the ease of use of our GDK (GitLab Development Kit).
 Improve Review apps for CE/EE (GDK in the cloud).
 Build automated tooling to speed up issue and merge request review and triage
 Maintain existing server application.
 Write high-quality, clean, maintainable code using engineering best practices (unit testing, source control, continuous integration, automation, design patterns, etc.).
 Write, manage, and update documentation related with development

Skills

HTML+CSS
MySQL
Golang
Node.js
MongoDB

Culture
Waresix.com is a tech startup building on-demand warehousing. We are one of the fastest growing companies in Indonesia, with expanding operations and relationships throughout Indonesia. Serving companies of all sizes, Waresix makes their business better than others.
We offer enormous opportunities for employees to explore themselves. This is a great place to build careers and be part of an innovative and creative team.  A dynamic and tech-driven company where we can work happily, passionately, and grow incredibly.
About the company
Waresix connects shippers and businesses with available warehouses and trucks across Indonesia, providing better transparency, quality of service, and improved incomes for asset owners.",Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi)
.Net Developer (Mandiri International Technology),Company Confidential,Jakarta Raya,Kontrak,,"Job description & requirements
🙌🏻 About Us
PT. Mandiri International Technology (MITech) is an Indonesian leading Information and Communication Technology (ICT) Solutions and Services Company, over 180 employees, established in 2014. We help our valued Clients to drive their business growth by delivering innovative digital technology and business transformation. 
💰Salary
Very competitive
👑 Job Role

Participate in requirements analysis
 Collaborate with internal teams to produce software design and architecture
 Write clean, scalable code using .NET programming languages
 Test and deploy applications and systems
 Revise, update, refactor and debug code
 Improve existing software
 Develop documentation throughout the software development life cycle (SDLC)
 Serve as an expert on applications and provide technical support

⛩️ Requirements

Minimum Bachelor Degree in IT Fields
 Deep understanding with OOP concepts
 Having min 1 year experience in Web Development with.Net Framework (ASP.NET, MVC, C#)
 Strong proficiency in HTML, CSS, JavaScript
 Experience with MS SQL Server (DDL, DML)

🎁 Perks

Competitive Salary
 THR / Bonus system
 Medical Insurance
 Dental Insurance

Skills

ASP.NET
.NET
Object-oriented Programming (OOP)

Culture
Check out more here - https://talent.usedeall.com/
About the company
Deall is a curated job portal, where only the talents we have curated can apply to vacancies.",Developer/Programmer (Teknologi Informasi & Komunikasi)
Fullstack Developer,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Kontrak,,"Job description & requirements

Wajib memiliki pengalaman di banking
 Terbiasa mengerjakan Project Regulatory
 Memiliki knowledge di Back End dan Front End (Javaspringboot, Javascript, .Net, React js, Node js)

Skills

Full-stack Web Development
Software Engineering
Backend Development
Front-end Development
Javascript
Java
.NET
React.js
Node.js

Culture
SIGMATECH is collaborative, progressive, energetic, innovative and open.
SIGMATECH has established itself as the trusted partner for use in mission-critical applications and service clientele from SME to 500 Fortune company.
Benefits and perks of working with us include:
Compensation: Competitive salaries
Lifestyle: Casual dress code
Progression: Professional development (Webinars & Prime Class)
Welfare: BPJS, Private Insurance, Transport Allowance

About the company",Developer/Programmer (Teknologi Informasi & Komunikasi)
